2026-04-23 01:08:48 | DEBUG    | bot.client | Order response: {'orderId': 13062617442, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'OEDXZZyb26xWu3itb7MXZQ', 'price': '100000.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776886727810}
2026-04-23 01:08:48 | INFO     | bot.orders | Order SUCCESS | orderId=13062617442 status=NEW executedQty=0.0000
2026-04-23 01:16:48 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.017000000000000005 price=MARKET stop=N/A
2026-04-23 01:16:48 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017000000000000005, 'timestamp': 1776887208676, 'recvWindow': 5000}
2026-04-23 01:16:49 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:17:06 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01 price=MARKET stop=N/A
2026-04-23 01:17:06 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776887226205, 'recvWindow': 5000}
2026-04-23 01:17:06 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:19:34 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.017 price=MARKET stop=N/A
2026-04-23 01:19:34 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1776887374549, 'recvWindow': 5000}
2026-04-23 01:19:35 | ERROR    | bot.client | Binance API error -1022: Signature for this request is not valid.
2026-04-23 01:20:39 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01 price=MARKET stop=N/A
2026-04-23 01:20:39 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776887439501, 'recvWindow': 5000}
